id,qid1,qid2,question1,question2,is_duplicate
1108,2207,2208,How's life going?,How is your life going?,0
1109,2209,2210,Quora: How do you post a question on Quora?,What are the best ways to ask a question on Quora?,1
1110,2211,2212,What are the benefits of learning another language?,What are the benefits of learning a third language?,1
1111,2213,2214,What are disaccharides? What are examples of disaccharides?,What are some examples of disaccharides?,1
1112,2215,2216,Why did the Umayyad Caliphate fall? What could have been done to avoid his fall?,History of Islam: Why did the Umayyad Caliphate invade Christian territory?,0
1113,2217,2218,"""Every one is unique in this world"", what are the best ways to find my uniqueness?",How do i prevent other people in this world to use similar name like me? Is there any way that i can protect my unique name as My IP assets?,0
1114,2219,2220,What are the strongest majors in terms of job prospects and what are the weakest majors at Jackson State?,What are the strongest majors in terms of job prospects and what are the weakest majors at Morehead State?,0
1115,2221,1093,How can I hack a WhatsApp account?,How can I hack another WhatsApp account?,1
1116,2222,2223,What is the best IT field for freshers?,What is the best IT field to get in for a fresher?,1
1117,2224,2225,Where could be a safe place to have sex with girlfriend?,Is it legal to have sex in your car in India?,0
1118,2226,2227,Has an amazing coincidence ever happened to you?,What's the biggest coincidence that has ever happened to you?,0
1119,2228,2229,Why doesn't Google buy Quora?,Will Google buy Quora?,1
1120,2230,2231,How do I determine the side of latent strabismus using cover uncover test?,"Which will heal faster, a cut which is covered or uncovered?",0
1121,2232,2233,"Does a Lab/Terrier mix shed a lot? If so, how can this be treated?","Does a Husky/Cocker Spaniel mix shed? If so, what is the best treatment for this?",0
1122,2234,2235,How do we account for transgender people if gender is socially constructed?,If society reversed gender roles would transgender people be the same people or different people?,1
1123,2236,2237,Did Jesus like bananas?,Why is Jesus named Jesus?,0
1124,2238,2239,Is it true that the USA dropped more bombs on Laos during the Secret War than the total amount of bombs dropped on Europe during World War 2?,What were some realistic alternatives to ending World War 2 with Japan's unconditional surrender but without dropping the A-bombs?,0
1125,2240,2241,How do you get an Internet browser on Roku?,How can you use Roku to browse the internet?,0
1126,2242,2243,What is the shortcut key of subscript and superscript in Excel?,How do I select all the text in a cell in Excel? What is the keyboard shortcut?,0
1127,2244,2245,What is the weirdest or most disturbing thing that a kid has said?,What is the creepiest thing your spouse has ever done?,0
1128,2246,2247,How can we improve the education system for high school and college?,How can you improve high school education?,1
1129,2248,2249,How do I create a strong password?,How does one create a strong password? Any tips?,1
1130,2250,2251,"Do aliens really exist? If so ,do we have an evidence for it?",Do aliens really exists? If yes then where?,1
1131,2252,2253,How do I find a hacker?,How does one become a hacker?,0
1132,2254,2255,Who were the Aztec?,Who were the Aztec Gods?,0
1133,2256,2257,Why do we need to study?,Why we need study?,1
1134,2258,2259,How long is the recovery time after wisdom teeth removal?,Why is it important to rinse with salt water after getting wisdom teeth removed?,0
1135,2260,2261,What were Hillary Clinton's positive achievements as Secretary of State?,What is Hillary Clinton's greatest achievement as a Secretary of State?,1
1136,2262,2263,What is the difference between growth and development?,How do growth and development contrast?,0
1137,2264,2265,How can I improve my english language skills? I am basically from gujarati background.,"How do I improve my vocabulary and English speaking skills? I am a 22 year old software engineer and come from a Telugu medium background. I am able to write well, but my speaking skills are poor.",1
1138,2266,2267,How can I get a chance to meet Mr. Narendra Modi?,How can I meet Modi?,1
1139,2268,2269,What is an example of a thriving society (past or present) with tiny government?,Has there ever been a country run on libertarianism?,0
1140,2270,2271,What kind of reproductive organs do transgender people have?,How do you view transgender people?,0
1141,2272,2273,What is it like working in Indian Army?,What is it like to work in the Indian Army?,1
1142,2274,2275,What is the best way for a native Chinese speaker to learn English?,How can I learn English well as a Chinese student？?,1
1143,2276,2277,Why do people belive in god?,Why do people believe in God? What is the real faith in God? How do you believe God?,1
1144,2278,2279,Java program that takes two file names as input and joins the lines from the two files based on a given join field?,How do I print a new line in the file using FileWriter in Java?,0
1145,2280,2281,What was the first music video ever produced?,Has a fan made music video ever been released as the official music video for a song?,0
1146,2282,2283,What if you find a metro pcs phone with a pattern lock?,Can I get my Sprint phone to work for Metro PCS?,0
1147,2284,2285,Is fried food unhealthy?,Is pan fried food unhealthy?,0
1148,2286,2287,Where can one get the English audio tracks for movies?,"Is it possible to find the ""English audio file"" of a movie? If possible, in which website can we get them?",0
1149,2288,2289,What is it like to attend the University of Waterloo as graduate?,What is it like to be a freshman at the University of Waterloo?,0
1150,2290,2291,"I'm 23year old & 5ft girl weighing 60kg & my fats are mainly concentrated in my tummy, thighs and hips. How and what exercises should I follow?",How can I lose or reduce thigh and hip fat fast?,0
1151,2292,2293,How do you compare and contrast the properties of acids and bases?,How can you compare and contrast base and acid?,1
1152,2294,2295,"Working in IT as a support analyst for 2.5 years, graduated from Civil engineering, is MIS the correct option for Masters as it combines Management?",I am an civil engineering graduate with 2 years of experience in IT as a Support Analyst. I am not sure whether to pursue a master's in engineering management (MEM) or a master's in Information systems (MIS). What are the factors I should consider before I make my choice?,0
1153,2296,2297,What is the best way to do SEO in 2016?,How can I do SEO 2016?,1
1154,2298,2299,What defines happiness for you?,What defines happiness?,1
1155,2300,2301,What would a male Neanderthal think of a modern woman?,I am a female what would a Neanderthal male think of me?,1
1156,2302,2303,Walking 3 km daily for 60 days will lead to how much weight loss?,How do I lose weight and gain muscle?,0
1157,2304,2305,What is literally the most fastest way to make money?,What are fast ways to make money?,1
1158,2306,2307,How do you edit your Quora profile?,How do I edit my profile?,1
1159,2308,2309,What are the ten best short stories written by Isaac Asimov?,What is your favourite story by Isaac Asimov?,1
1160,2310,2311,Do women like men who wear cock rings?,Do women like seeing men ejaculating?,0
1161,2312,2313,How can I start my own Minecraft Youtube Channel?,What should I do to stand out when starting a YouTube channel?,0
1162,2314,2315,Do other cars taunt you while you are driving in public? ,Why should we turn off the lights inside the car while driving?,0
1163,2316,2317,Which is a suitable inpatient drug and alcohol rehab center in Appling County GA?,Which is a suitable inpatient drug and alcohol rehab center in Heard County GA?,0
1164,2318,2319,Where are some fish spas in Malacca / Melaka?,What is the Best place in kuala lumpur for cheap Shopping?,0
1165,2320,2321,What can one do to relieve severe chronic pain?,What has worked for you to help relieve chronic pain?,1
1166,2322,2323,What can I do to improve my English speaking?,How can I improve my spoken English?,1
1167,2324,2325,What are some of the best history podcasts?,What is the best podcast in history?,1
1168,2326,2327,"Do Muslim in India, especially in Gujarat,India hate(still) Narendra Modi?",Why do some Indian Muslims hate Narendra Modi?,1
1169,2328,2329,What are some benefits of being close friends with a lawyer?,What are some benefits of being close friends with a professor?,0
1170,2330,2331,"I'm a big guy. When I get angry, people get scared and accuse me of threatening them. How do I stop this? I'm not actually a violent person.",I block people when I'm angry. I refuse to talk to them. Why do I get angry for such small things?,0
1171,2332,2333,Who really did frame Roger Rabbit?,What is the theme of Who Framed Roger Rabbit?,0
1172,2334,2335,Have you ever encountered any alien? Please be true.Do not make a story.,Have you encountered an alien? What happened?,1
1173,2336,2337,What are top 5 things I should definitely not do when I am flying?,What are the top 5 things I should definitely not do when I am on a flight?,1
1174,2338,2339,Bollywood: what is the worst film dialogue ever from a superhit hindi movie?,What are some of the worst movies of Bollywood?,0
1175,2340,2341,How can I recover my Hotmail password?,How do I recover my Hotmail password?,1
1176,2342,2343,Is this the real life or is this some fantasy?,"Queen (band): Is this the real life, or is this just fantasy?",1
1177,2344,2345,What are the most interesting products and innovations that Triumph Bank is coming out with in 2016?,What are the most interesting products and innovations that M&T Bank is coming out with in 2016?,0
1178,2346,2347,Is it easy to get a job in European countries like Sweden or Denmark for an Indian engineer on a working visa?,Is it easy to get part time job in Sweden?,0
1179,2348,2349,What is the (true) nature of reality?,What is the ultimate truth that no one can deny?,0
1180,2350,2351,When did nationalism appear and how much does it affect the world now?,"Do you ever feel that your future holds no excitement/happiness for you, things will always be at mediocre level?",0
1181,2352,2353,What are the best peaceful locations in India for holiday?,Which are the best places for the holidays in India?,0
1182,2354,2355,What license do I need for starting manufacturing of herbal diet products?,What norms need to be followed for the manufacturing and production of an extension board and where do I find written copies for the same?,0
1183,2356,2357,What is my GPA if I have scored 65% in my 11th std CBSE?,Why is Persian word “ذليل” meaning ‘a Muslim’ translated incorrectly on Microsoft Translator? Is it intentional or careless?,0
1184,2358,2359,What is Do's mission?,What is your mission in life?,0
1185,2360,2361,What are the easiest ways to improve business practices?,I am an international student and I am going to Harvard for the summer. How likely is it that my F1 visa will be rejected?,0
1186,2362,2363,How do I learn Python systematically?,"Starting with no programming experience, how long will it take to learn Python 3?",1
1187,2364,2365,How do I know that a guy likes you?,How can you tell if a guy likes you or not?,1
1188,2366,2367,What are good questions for you to ask an interviewer?,What questions should a job candidate ask the interviewer?,0
1189,2368,2369,How can I pass the HP0-M40 exam?,How can I pass the HP0-M33 exam?,0
1190,2370,2371,I have a 3d printer. How can I make money off it?,How can I make money with my 3d printer?,1
1191,2372,2373,How much does it cost to develop app like Zomato?,What does it cost to develop an app like Zomato Order?,1
1192,2374,2375,Why do so may people ask questions on Quora that can easily be found by a simple Google searh?,Why do people find it easier to stage simple questions on Quora rather than spending a few minutes on the Internet to find straight answers?,1
1193,2376,2377,Which languages have been profoundly affected by Low German?,Which languages have been most profoundly affected by Low German?,1
1194,2378,2379,What are the applications of the MEAN Stack in web programming ?,"What is the meaning and uses of ""hello""?",0
1195,2380,2381,Is it worth it to work as an application support engineer intern at Microsoft?,What is the salary for a Software Engineering Intern at Microsoft in 2014?,0
1196,2382,2383,Who are you a role model for?,Who is your role model?,0
1197,2384,2385,"I told my classmate my essay topic, and she wrote her essay on that topic. Now we have very similar essays, will we both be accused of plagiarizing?",Would it be considered plagiarism if I ask someone on Quora to proofread my Spanish essay and submit that proofread version to my teacher?,0
1198,2386,2387,Complete the sentence: My mother is ______?,What is the smallest complete sentence?,0
1199,2388,2389,What's the reason India fails in Olympics?,Why is India failing so miserably at the Rio Olympics?,1
1200,2390,2391,What and where are the sweet red wine stores available in hyderabad?,What is a good white wine sweetness scale?,0
1201,2392,2393,Should I buy this new laptop or not?,Should I buy a new laptop?,0
1202,2394,2395,"What exactly does it mean when you say the universe is ""expanding""? Does the planck-length get bigger? How can there be more space between objects?","If the universe is ""expanding"", is my room expanding? Are atoms expanding? Is everything expanding?",0
1203,2396,2397,What is triloca.com?,What does Kakigarden.com do?,0
1204,2398,2399,In what ratio does a child inherit their father's and mother's genetic traits?,What name did you save your dad/mum's number with?,0
1205,2400,2401,How do I plan a 4 day trip to Goa?,How can I plan a 3 days/3 nights trip to Goa?,1
1206,2402,2403,"Which processor is faster and better for battery between Octa core, 1.7 GHz, Cortex A53, Chipset: Mediatek MT6752 and Quad core, 1.4 GHz, Cortex A53, Chipset: Qualcomm Snapdragon 410 MSM8916?",Which one is a better processor: 1.8 GHz Intel quad core or a 1.7 GHz Snapdragon Octacor?,0
1207,2404,2405,How can I disable checkpoint in Endpoint Security firewall?,I have an updated paid firewall/virus scanner and I do not use unprotected public WiFi. How do I make myself more secure?,0
1208,2406,2407,Was Dhoni's decision to give up captaincy good for India? Yes No He should have retired?,Polished vitrified tiles?,0
1209,2408,2409,What will happen to EU citizens in UK after brexit?,What's going to happen to EU citizens in the UK if the UK leaves the European Union after a 2016 referendum?,1
1210,2410,2411,What are the minimum GPA and GRE requirements of Florida State University?,What are the minimum GPA and  GRE requirements of Florida State University?,1
1211,2412,2413,Why does temperature decrease when altitude increases?,Why does temperature decrease with increase in altitude?,1
1212,2414,2415,Mountain Climbing: Can anyone climb Mount Everest?,Can I climb mount Everest without any previous mountaineering experience?,0
1213,2416,2417,What's a good place to buy laptop bags in Bangalore?,Can you recommend a place in Berlin to buy laptop bag?,0
1214,2418,2419,Can Fedevel academy teach me to make a modern PCB?,Has anyone taken any course from Fedevel academy for PCB design?,0
1215,2420,2421,What are some of the best jokes you've ever heard?,What is the most funny joke you have ever heard?,1
1216,2422,2423,Why is Sachin Tendulkar resisting to come on the The Kapil Sharma Show?,How do you feel when someone points out your mistake?,0
1217,2424,2425,How come there are no depictions of the massacres Islam inflicted on India?,How come there are no depictions of the massacres inflicted by Islam on India.?,1
1218,2426,2427,"What are the best soccer goals that ""you've never seen""?",What are the best goals scored in soccer?,0
1219,2428,2429,How Can I impress a girl who hate me?,How can impress a girl who hate me?,1
1220,2430,2431,What is it like to live in the big cities of Jamaica compared to the ones in Brazil?,What is it like to live in the big cities of Jamaica compared to the ones in Mexico?,0
1221,2432,2433,How long will it take to have clear vision after lasik laser surgery?,"Is it possible to go from having a low IQ to having a high IQ, if so how?",0
1222,2434,2435,"Which is a suitable solar panel installation provider near South Gate, California CA?","Which is a good solar panel installation provider near Stinson Beach, California CA?",0
1223,2436,2437,"Why are black women not regarded as attractive as Asian or Latin women, even though they are more represented in the media?",Do white women find Asian men attractive?,0
1224,2438,2439,How can I improve my pronunciation in English?,How can I improve my English pronunciation?,1
1225,2440,2441,How do you say 1<x<2?,What is the best way to say 1?,0
1226,2442,2443,Why did humans come into existence?,Why did humans come to existence?,1
1227,2444,2445,"In Japanese, how do you say ""darkness""?","How does one say ""oh my god"" in Japanese?",0
1228,2446,2447,Why do Trump supporters believe that Donald Trump can get his platform through congress?,Why don't I know any supporters of Donald Trump?,0
1229,2448,2449,What are some common examples of solid matter?,What are the most common examples of solid matter?,1
1230,2450,2451,"My parents give me ""advice"" and they get really mad if I dont take it… What am I supposed to do?",What is the best advice for giving others an advice?,0
1231,2452,2453,Is there a special dish/food from your home country that your family has incorporated into the traditional American Thanksgiving meal?,When did Thanksgiving begin? When was it established as a national Holiday in the United States? Do other countries recognize Thanksgiving?,0
1232,2454,2455,How should I get motivated to hit the gym every day?,How can I keep myself motivated to hit the gym everyday?,1
1233,2456,2457,What is the the best free wordpress theme for oniline printing shop?,"Under either candidate as president, is the US is relinquishing its postwar leadership in opening markets worldwide to China?",0
1234,2458,2459,Where can I get fantastic value in Sydney for floor tiles?,Where can I get best quality wall and floor tiles at very affordable rates in Sydney area?,1
1235,2460,2461,"Why do some old computer games run very fast on new, powerful computers?",What is one key criteria or computer part that makes a computer fast for gaming?,0
1236,2462,2463,How can I continue using Uber if I change countries without changing my account?,Can I use my Uber referral credit in some other countries? What if I refer someone in other country?,0
1237,2464,2465,"For BITSAT & IIT JEE Mains 'theory', is NCERT sufficient?",Is reading NCERT textbooks and solving model question papers good enough preparation to do well in BITSAT and JEE Mains?,0
1238,2466,2467,"With anti-poor, anti-middle class laws like GST, land, labor reforms, is india going to become authoritarian like china?","How do we let know the defence ministry of India to also focus on the Cyber Warfare like China and USA does, we have so many IITans with such good hacking and anti-hacking/firewalling skill?",0
1239,2468,2469,What are the best ways to learn to code in a short amount of time?,How can I learn to code easily and efficiently in a short amount of time?,1
1240,2470,2471,What is the nicest thing that a complete stranger has ever done for you?,What is the nicest thing a stranger has done for you?,1
1241,2472,2473,What are some good factors about democracy?,What is something good about fascism that we would benefit from applying to our liberal democracies?,0
1242,2474,2475,What is the best gift you ever received?,Which is the best gift that you have ever received?,1
1243,2476,2477,Who is the best teacher in life?,Who are the best teachers of life?,1
1244,2478,2479,"Why didn't Huma Abedin give the FBI immediate permission to examine the 650,000 Email?",What is it like to grow up in a one bedroom apartment?,0
1245,2480,2481,If I become a millionaire should I tell families and friends?,Should I tell people that I have become a millionaire?,1
1246,2482,2483,Are there any students from SJA Dehradun on Quora?,"Is a better translation of ""exceptio probat regulum"" ""the exception tests the rule?""",0
1247,2484,2485,How can a 9th grader study for NTSE online? What are some good websites for assignments?,How do I prepare for NTSE if presently studying in class 9th?,0
1248,2486,2487,Who is the best footballer?,Who are the best footballer today?,0
1249,2488,2489,What is the name of the creepiest horror movie you've ever seen? Which was the scariest part?,What is the scariest or creepiest movie you have ever seen?,1
1250,2490,2491,What would be the procedure if a major party nominee died before a general election?,What would happen if the presidential nominee died before the November election?,1
1251,2492,2493,Will I spoil my smartphone if I keep it charging overnight regularly?,How long does it take to full charge a smartphone?,0
1252,2494,2495,How does Keyhole fetch hash tag data from Facebook while there is no API available for this?,Why are hash tags so important?,0
1253,2496,2497,"Do Google glasses look super nerdy? If so, how might Google overcome this perception?",What can Google do to turn Google Glass around?,0
1254,2498,2499,Were India and China part of Turkey at any point of time in world history?,Who were the most powerful countries in the world at different points in history?,0
1255,2500,2501,What are the biggest regrets of your life?,What's your biggest regret in life?,1
1256,2502,2503,What are the places to visit for a honeymoon in Kerala?,"What all places can one visit on a two day trip in Kerala, India?",1
1257,2504,2505,Have you ever experienced paranormal activities?,Have you ever experienced any paranormal activity? Where and what actually happened?,0
1258,2506,2507,Would you share your deepest secret with your spouse?,What is your secret that you can only share at Quora?,0
1259,2508,2509,What are your views on the ban of Rs 500 and Rs 1000 notes by the Indian Government? Pros cons?,What do you think of abolishing 500 and 1000 Rupee Currency notes by the Indian Government?,1
1260,2510,2511,"What is the difference between ""assessment"" and ""evaluation""?",What is the difference between assessment and evaluation?,1
1261,2512,2513,What are the songs that make you feel happy?,What are some songs that just make you happy?,1
1262,2514,2515,What is your review of No Such Thing (2001 movie)?,What is your review of Friend (2001 movie)?,0
1263,2516,2517,Can you buy an Apple Watch without a watch band?,"Will existing Apple Watch bands work with Apple Watch 3 (2017), since I have expensive Apple Watch Bands including Link Bracelet and Classic Buckle?",0
1264,2518,2519,What was the last great decade for rock?,"Who would you pick as the best rock band of the last decade, 2005-2015?",0
1265,2520,2521,What countries are socialist?,Are there any socialist countries left?,1
1266,2522,2523,What are the main differences between Microsoft Office 2013 and 2016 for Windows?,What is the major difference between MS - Office 2007 and 2013?,0
1267,2524,2525,I wanted to start a e-grocery store in Kerala. So will any of the existing e-grocery stores in India will allow me to visit and study their office?,"If you needed to earn 1 million dollars within a year, what would you do?",0
1268,2526,2527,How can the landforms of the Canadian shield be described?,What are the landforms of the Canadian Shield?,0
1269,2528,2529,Will Brexit really happen?,Is Brexit likely to happen?,1
1270,2530,2531,How can we hack Wifi Passowrds?,How do I can hack wifi?,1
1271,2532,2533,How did Portugal become and stay independent of Spain? What are the cultural narratives in Portuguese and Spanish histories?,How did Portugal become an independent country from Spain?,1
1272,2534,2535,Who will probably win in the war between Pakistan and Iran?,Who would win a *conventional* war between Iran and Pakistan right now?,1
1273,2536,2537,Why does magnetic field produce when current flows in a conductor?,Why is a magnetic field produced when current flows through a conductor?,1
1274,2538,2539,Who were the most influential queens in history?,Who is the most influential queen in history?,1
1275,2540,2541,How do we allocate memory for a structure and array in C?,Are dynamic allocations of array allowed in C?,1
1276,2542,2543,How do I integrate [math]v^3(a^2-v^2)^{\frac{1}{2}}[/math] by substitution?,How do I integrate [math]\frac{x^2}{x^2-1}[/math]?,0
1277,2544,2545,What is the latest age for a wisdom tooth to come out?,My wisdom tooth is hurting but it has come out well and I floss there. So why is it hurting then?,0
1278,2546,2547,Any solutions for unable to upgrade access level for viewing to full transaction of SBI net banking?,How much time does it take to upgrade the access level to full transaction rights in SBI online?,0
1279,2548,2549,Baking: How do I make cookies that are soft and chewy?,How do you bake cookies without plain flour?,0
1280,2550,2551,What interests should I add on Omegle to get more girls?,Omegle is not so famous among girls. Do girls know about or like Omegle?,0
1281,2552,2553,How can I stop overthinking everything in my relationship?,How do I stop overthinking situations in my relationship?,1
1282,2554,2555,"What is meant by ""the language of a story""?",What is meant by c language?,0
1283,2556,2557,What is my strategy for applying for Economics graduate school no research/internships?,What are some important factors that keep bones healthy and strong?,0
1284,2558,2559,Why do I not lose weight when I throw up?,What are the best ways to lose weight?,0
1285,2560,2561,How can I make money online in India?,What's the easiest way to make money online?,0
1286,2562,2563,What are the differences between Chinese and western etiquettes?,What are the differences between Chinese and western etiquette?,1
1287,2564,2565,Is keeping a old Rs. 500 or Rs. 1000 note as a memory is a crime?,What were the security features of an old Rs. 500 and Rs. 1000 currency notes?,0
1288,2566,2567,What are some popular method to do suicide?,Is there some painless way to suicide?,1
1289,2568,2569,Why do Capricorns pull away?,What does love mean to Capricorns?,0
1290,2570,2571,"What is the difference between 'das', 'der', 'die' and 'den' in the German language?","German (language): What is the difference between ""dem"" and ""den""?",0
1291,2572,2573,I am 36 year old divorced female. I seem incapable of fulfilling my dream of being married and having a family. Is there a way?,"Quora, may I have three million dollars to fulfill my dream within 4 years?",0
1292,2574,2575,Where can I get wonderful flavors on cupcakes in Gold Coast?,Where can I get good quality cupcakes and a lot of different flavor in Gold Coast?,1
1293,2576,2577,Why is Magical girl anime popular in South Korea?,Why are fairy-themed magical girls rare in anime?,0
1294,2578,2579,What was Marc Srour like as a teenager?,What is it like to be Marc Srour?,0
1295,2580,2581,Is time travel possible? If yes? How?,Is time travel still theorized as being possible?,1
1296,2582,2583,Why is Hansie Cronje the greatest ever South African captain?,What is it like to be a white South African?,0
1297,2584,2585,Can you use one Spotify premium account on multiple mobile devices?,"If I have a Spotify premium account on my iPhone, can my friend use it on his iPhone?",0
1298,2586,2587,"What are the copyright laws around quotes? Can I take a quote, make it into a poster and sell it on Etsy?",Why doesn't Microsoft take action on the millions of pirated copies of Windows?,0
1299,2588,2589,"I am planning to join CTS (Cognizant), USA and heard these rumors that even if they promised, they don't apply for green cards for their employees. What are the facts behind this?","I am a British Citizen with perm. residence in ZA. May I apply for the Green Card Lottery considering ""natives of the UK are not eligible to apply""?",0
1300,2590,2591,"Does anyone else have clear looking skin but if you squeeze your pores lots of white gunk ""worms"" come out?",Why is my face sweating and I have smelly gunk comming out of the pores on my nose?,0
1301,2592,2593,How safe is it to use your real name on the internet?,How safe is it to have your real name on the Internet?,0
1302,2594,2595,I own a personal website/blog. If I get decent traffic I want to make few bucks via ads. Does the law allow me to do this while being on H1B visa?,My brother in law going to start a shop in NY. Can he apply for me as a worker of his shop to get H1b visa?,0
1303,2596,2597,What is the most spontaneous thing you have ever done?,What is the most spontaneous thing you've ever done?,1
1304,2598,2599,Which book to use for preparing chemistry for neet?,Which chemistry objective book is good for NEET 2017?,1
1305,2600,2601,How can I manage inbox in outlook for rapid response when I have a email flow of 200 emails per day?,"When it comes to mass email marketing, do you think a .com has a better chance of inboxing compared to a .net .us. info etc.?",0
1306,2602,2603,What are some good truth or dare questions to ask over text?,What are the best questions to ask a girl while chatting?,0
1307,2604,2605,What is the purpose of double pulsing a thyristor?,What is the purpose of life?,0
1308,2606,2607,How will real estate prices be affected in India after banning of 500 and 1000 rupees notes?,How does the demonetized notes of 500 and 1000 effect the real estate?,1
1309,2608,2609,How many minutes does it take to soft boil an egg?,Which is Better: Raw egg or Boiled egg?,0
1310,2610,2611,What should I do if my best friend is addicted to drugs?,What is drug rehab like?,0
1311,2612,2613,How long does the USPS first class shipping take from Phoenix to Los Angeles?,How long does it take to ship USPS to Hong Kong?,0
1312,2614,2615,I m bio student how I got admission in vits Vellore in biotechnology and I don't have math in 12?,Kindly tell me whole process of admission at vits Vellore for biotech.i m a bio student in 12..I don't have math there?,1
1313,2616,2617,What is the life of mechanical engineers graduated from top colleges who didn't select in campus placemats?,Why do many engineering graduates from top notch colleges such as IITs/NITs pursue an MBA immediately after graduation?,0
1314,2618,2619,What are my options for earning money online?,What are some best ways to earn money online?,1
1315,2620,2621,What was a book that changed you?,What is the one book that changed you?,1
1316,2622,2623,What are the things to consider when buying a new laptop?,What are the things to be considered while buying a new laptop?,1
1317,2624,2625,Which is the best destination for honeymoon in December within a budget of INR 2 lakhs for a couple?,Which is the best destination for honeymoon in december within a budget of INR 4 lakhs for a couple?,0
1318,2626,2627,Why would an ex follow me on social networks if he broke up with me?,Why would my ex follow me on IG when we haven't spoken much since we broke up in 2012?,0
1319,2628,2629,How should I stop biting my nails?,How can I stop biting my nails for good?,1
1320,2630,2631,How do I avoid looking like a tourist in Paris?,How do I dress in Paris to avoid looking like a tourist?,1
1321,2632,2633,"Presently (2015) how many articles, parts and schedules are there in the Indian Constitution?",How many pages are there in the Indian constitution?,0
1322,2634,2635,What are good ways to earn online?,How can I earn online with little investment?,0
1323,2636,2637,Is Trump a Manchurian President for Putin?,Is President-elect Donald Trump President Putin's Trojan Horse?,0
1324,2638,2639,What are the benefits of completing IIT JEE after 12th?,"What do you think of Stephen A. Marglin's book ""The Dismal Science: How Thinking Like an Economist Undermines Community""?",0
1325,2640,2641,What is (Ni) Introverted Intuition?,What is Introverted Intuition?,1
1326,2642,2643,How do I plan a bridal shower party?,How can I plan a bridal shower in another state?,1
1327,2644,2645,Why does the Indian education system suck?,What is wrong with Indian engineering education system?,1
1328,2646,2647,What are the best pick up lines?,How do I pick up a girl taller than me?,0
1329,2648,2649,Why do the Union territories of Puducherry and Delhi have their own assembly?,Why do only the union territories of Delhi and Puducherry have chief ministers and not others?,1
1330,2650,2651,What is the story behind the Black Swan movie?,What is the story behind the black swan in Swan Lake?,1
1331,2652,2653,Are there any jobs where I can combine my creative and tech minds?,Is there any respectable job where I can sit and read and get paid good?,0
1332,2654,2655,How do I get mods for GTA v on my Xbox one?,Can I play GTA 5 in Xbox 360 E?,0
1333,2656,1215,Is a third world war coming?,Is World War 3 more imminent than expected?,1
1334,2657,2658,What is the best Advantage of using Quora?,What is the benefit to Quora?,1
1335,2659,2660,What would Cersei do if Jon became king?,What would Melisandre do if Jon became king?,0
1336,2661,2662,What is so special about Rolls Royce cars that they are only given to respected personalities?,Are Rolls-Royce cars given only to reputed personalities?,1
1337,2663,2664,Why is the spine is seen as the axis of the universe in spirituality? How do you get mastery over the spine?,How can you treat pain in the middle of your spine?,0
1338,2665,2666,What are the similarities and differences between chloroplasts and mitochondria?,What is the difference between electrons in the mitochondria of an animal cell and mitochondria in the plant cell when cyanide is added?,0
1339,2667,2668,Where can I get the Jacket that Ranbir Kapoor is wearing in song 'Matargashti'?,What is Ranbir Kapoor's beard style in iLahi Song from Yeh Jawaani Hai Deewani?,0
1340,2669,2670,How long does a human need to die after drinking rat poison?,How does a person detect if their weed was laced with rat poison?,0
1341,2671,2672,Why does Islam allow and encourage cousins to marry? Is this still in practice?,Do cousins marry each other regularly in Islam?,0
1342,2673,2674,How do I know if my WhatsApp account has been hacked?,How do I hack anyone's WhatsApp account by my mobile?,0
1343,2675,2676,What do you think of the decision by the Indian Government to demonetize 500 and 1000 rupee notes?,Is the Indian government's decision to illegalise 500 and 1000 rupee notes a masterstroke or a flawed plan?,0
1344,2677,2678,Are there any famous people with low IQ's?,Who are some famous people with low IQs?,1
1345,2679,2680,Is there an archive app that lets you search the text in pictures?,Could the study of meteorology be used (in part) to understand the development and movement patterns of cancer?,0
1346,2681,2682,What are some good places to visit in Kerala on tour?,What are some good beaches to visit in Kerala?,1
1347,2683,2684,Can Donald Trump keep his campaign promises?,What promises can Donald Trump keep?,1
1348,2685,2686,How come the media doesn't cover/talk about Trump alleged raping of a 13 yr old girl trial?,Why doesn't the main stream media or Hillary talking about Trumps December trial for raping a 13 yo?,1
1349,2687,2688,Why does Locke decide to kill Bran Stark at Craster's Keep?,Why did Locke try to kill or kidnap Bran Stark at Craster's keep?,0
1350,2689,2690,"If you make $130,000/year in NYC, what is your take-home bi-weekly payment?","Why is the take home salary on 100,000 gross so low in the U.S.?",0
1351,2691,2692,How do you treat acne scars?,How do you treat acne?,0
1352,2693,2694,The Martian (2015 movie): Why couldn't Matt Damon grow more potatoes using the poop logic he used for the first time?,How plausible is the science in The Martian?,0
1353,2695,2696,What is it like to have a brain close to the great librarian?,What does it feel like to be working as a librarian?,0
1354,2697,2698,How does one make a blog?,What is the best way to build a successful blog?,0
1355,2699,2700,What are the best substitutes for butter extracts?,What are some good substitutes for butter beans?,0
1356,2701,2702,"What is the difference between ""UPLOAD""-""IMPORT"" and ""EXPORT""-""DOWNLOAD""?",What does California import and export?,0
1357,2703,2704,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M506x?,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M606x?,1
1358,2705,2706,How do I get my company's website on the first page of Google?,How do I get my website on the first page on Google [Search for specific Keyword] ?,0
